exposure_year,n,media_AC,mediana_AC,q025,q975
2019,1417,185.4202870959976,186.75390866340297,113.53592010419909,255.02370663932993
2020,1453,171.0743191261611,172.48252367222867,101.46064627385789,234.53922957960415
2021,1464,170.40839172092643,170.91872375307938,104.99982410007055,234.0020574375373
2022,1397,153.76046208968188,153.43722532710277,95.28483072707365,211.13844099022725
2023,1445,125.15799807788058,124.84490802701232,78.68138507737656,173.19272649861452
2024,1409,126.32861117574745,126.4320681496354,77.9731979535964,173.76023625398096
2025,1415,109.60283012147069,108.93430654307171,66.82945537403778,150.02545945114235
